name,location,price,rating
M4You,"Lower Town, Zagreb",740,8.8
Villa Vino & Grad,Zagreb,1.090,9.8
Apartman Kaptol,"Upper Town – Medvescak, Zagreb",1.170,9.3
Zest and Nest Boutique Apartments,"Upper Town – Medvescak, Zagreb",990,8.9
Bruna,"Novi Zagreb, Zagreb",810,9.6
Upper Town Apartments,"Upper Town – Medvescak, Zagreb",967,8.9
Apartments Magnolija - Zagreb Centre,"Upper Town – Medvescak, Zagreb",803,8.8
Apartments Old Town Gloria,"Lower Town, Zagreb",1.332,9.5
Apartman Goldy,Zagreb,630,9.6
House Dornik,"Upper Town – Medvescak, Zagreb",1.707,9.4
Irundo Downtown Apartments,"Lower Town, Zagreb",1.236,8.2
Madison Luxury Apartments & Rooms,"Maksimir, Zagreb",1.544,8.5
OLIVA 4 STARS,"Upper Town – Medvescak, Zagreb",823,9.6
Angel Main Square Center Zagreb,"Lower Town, Zagreb",2.760,8.1
Deluxe apartman Egle1 i studio Egle 2,"Lower Town, Zagreb",940,9.0
Angela Main Street Luxury Oasis & Free parking,"Lower Town, Zagreb",1.446,9.6
Timeout Heritage Hotel Zagreb,"Lower Town, Zagreb",2.485,7.5
"Luna Apartments, apartments with style",Zagreb,765,9.8
B&B Cool Centre Zagreb,"Lower Town, Zagreb",2.112,8.5
Artissimo Apartments,"Lower Town, Zagreb",1.314,9.4
Apartment Old Zagreb,"Upper Town – Medvescak, Zagreb",1.206,8.8
City Center Main Square Apartments Zagreb,"Lower Town, Zagreb",900,9.5
Apartman Lila,"Lower Town, Zagreb",723,8.9
Apartment Marija,Zagreb,627,8.9
MonikaRooms,Zagreb,1.006,9.2
